10/20/2014 01:37:24,Boot,0
10/20/2014 01:37:27,InputKey,S
10/20/2014 01:37:27,InputKey,F
10/20/2014 01:37:28,InputKey,A
10/20/2014 01:37:28,InputKey,S
10/20/2014 01:37:28,InputKey,D
10/20/2014 01:37:28,InputKey,F
10/20/2014 01:37:28,InputKey,F
10/20/2014 01:37:29,InputKey,G
10/20/2014 01:37:29,InputKey,G
10/20/2014 01:37:29,InputKey,F
10/20/2014 01:37:29,InputKey,S
10/20/2014 01:37:29,InputKey,D
10/20/2014 01:37:29,InputKey,F
10/20/2014 01:37:29,InputKey,G
10/20/2014 01:37:29,InputKey,S
10/20/2014 01:37:30,InputKey,D
10/20/2014 01:37:30,InputKey,F
10/20/2014 01:37:30,InputKey,G
10/20/2014 01:37:30,InputKey,S
10/20/2014 01:37:30,InputKey,D
10/20/2014 01:37:30,InputKey,F
10/20/2014 01:37:30,InputKey,G
10/20/2014 01:37:30,InputKey,G
10/20/2014 01:37:31,InputKey,G
10/20/2014 01:37:31,InputKey,G
10/20/2014 01:37:31,InputKey,F
10/20/2014 01:37:31,InputKey,G
